"Translation ID";"Description";"fi-FI";"eu-ES";"hr-HR";"th-TH";"nl-NL";"ru-RU";"es-ES";"ro-RO";"pt-PT";"sl-SI";"et-EE";"de-DE";"pt-BR";"hy-AM";"nb-NO";"gl-ES";"fa-IR";"cs-CZ";"id-ID";"ta-IN";"en-US";"el-GR";"ja-JP";"sr-Latn-RS";"hi-IN";"ca-ES";"zh-CN";"sk-SK";"hu-HU";"ko-KR";"ar-AE";"he-IL";"tr-TR";"sv-SE";"uk-UA";"ga-IE";"fr-FR";"bn-IN";"pl-PL";"lt-LT";"vi-VN";"it-IT"
"about";"";"Tietoa REChain.Online";"Honi buruz";"Informacije";"";"Over ons";"О проекте";"Acerca de";"Despre";"Sobre";"O aplikaciji";"Rakenduse teave";"Über";"Sobre";"Հավելվածի մասին";"Om";"Acerca de";"درباره";"O aplikaci";"Tentang";"பற்றி";"About";"";"このアプリについて";"О програму";"";"Quant a";"关于";"O aplikácii";"Névjegy";"소개";"حول";"אודות";"Hakkında";"Om REChain.Online";"Про застосунок";"Faoi";"À propos";"সম্পর্কে";"O nas";"Apie";"Giới thiệu";"Informazioni"
"accept";"";"Hyväksy";"Ados";"Prihvati";"";"Accepteren";"Принять";"Aceptar";"Accept";"";"Sprejmi";"Nõustu";"Annehmen";"Aceitar";"Ընդունել";"Godta";"Aceptar";"بپذیر";"Přijmout";"Terima";"ஏற்றுக்கொள்";"Accept";"";"承諾する";"Прихвати";"";"Accepta";"接受";"Prijať";"Elfogadás";"수락";"أقبل";"קבל";"Kabul et";"Acceptera";"Прийняти";"Glac";"Accepter";"স্বীকার করি";"Akceptuj";"Sutinku";"Đồng ý";"Accetta"
"acceptedTheInvitation";"";"{username} hyväksyi kutsun";"{username}-(e)k gonbidapena onartu du";"{username} je prihvatio/la poziv";"";"{username} heeft de uitnodiging geaccepteerd";"{username} принял(а) приглашение войти в чат";"{username} aceptó la invitación";"{username} a aceptat invitați";"";"{username} je sprejel povabilo";"{username} võttis kutse vastu";"{username} hat die Einladung angenommen";"{username} aceitou o convite";"{username}-ը ընդունել է հրավերը";"{username} godtok invitasjonen";"{username} aceptou o convite";"{username} دعوت را پذیرفت";"{username} přijali pozvání";"{username} menerima undangannya";"{username} அழைப்பை ஏற்றுக்கொண்டார்";"{username} accepted the invitation";"";"{username}が招待を承諾しました";"{username} прихвата позивницу";"";"{username} ha acceptat la invitació";"{username} 已接受邀请";"{username} prijali pozvánku";"{username} elfogadta a meghívást";"{username}가 초대를 수락함";"{username} قبل الدعوة";"{username} קיבל את ההזמנה";"{username} katılma davetini kabul etti";"{username} accepterade inbjudan";"{username} приймає запрошення";"Ghlac {username} leis an cuireadh";"{username} a accepté l'invitation";"{username} আমন্ত্রণ গ্রহণ করেছে";"{username} zaakceptował/-a zaproszenie";"{username} priėmė kvietimą";"{username} đã đồng ý lời mời";"{username} ha accettato l'invito"
"account";"";"Tili";"Kontua";"Račun";"";"Account";"Учётная запись";"Cuenta";"Cont";"Conta";"Račun";"Kasutajakonto";"Konto";"Conta";"Հաշիվ";"Konto";"Conta";"حساب";"Účet";"Akun";"";"Account";"";"アカウント";"Налог";"";"Compte";"账户";"Účet";"Fiók";"계정";"الحساب";"חשבון";"Hesap";"Konto";"Обліковий запис";"Cuntas";"Compte";"অ্যাকাউন্ট";"Konto";"Paskyra";"Tài khoản";"Account"
"accountInformation";"";"Tilitiedot";"Kontuaren informazioa";"Podaci računa";"";"Accountgegevens";"Сведения об учётной записи";"Información de la cuenta";"Informații despre cont";"";"Podatki o računu";"Kasutajakonto teave";"Kontoinformationen";"Dados da conta";"Տեղեկություններ հաշվի մասին";"Kontoinfo";"Información da conta";"اطلاعات حساب";"Informace o účtu";"Informasi akun";"";"Account information";"";"アカウント情報";"Подаци о налогу";"";"Informació del compte";"账户信息";"Informácie o účte";"Fiókinformációk";"계정 정보";"معلومات الحساب";"פרטי חשבון";"Hesap bilgileri";"Information om kontot";"Інформація про обліковий запис";"Faisnéis cuntais";"Informations sur le compte";"অ্যাকাউন্ট তথ্য";"Informacje o koncie";"Paskyros informacija";"Thông tin tài khoản";"Informazioni account"
"activatedEndToEndEncryption";"";"{username} otti käyttöön päästä-päähän salauksen";"";"{username} je aktivirao/la obostrano šifriranje";"";"{username} heeft eind-tot-eindversleuteling geactiveerd";"{username} активировал(а) сквозное шифрование";"{username} activó el cifrado de extremo a extremo";"{username} a activat criptarea end-to-end";"";"Uporabnik {username} je aktiviral šifriranje od konca do konca";"{username} võttis kasutusele läbiva krüptimise";"{username} hat Ende-zu-Ende Verschlüsselung aktiviert";"{username} ativou a criptografia ponta-a-ponta";"{username}-ը ակտիվացրել է end to end կոդավորումը";"{username} skrudde på ende-til-ende -kryptering";"{username} activou o cifrado extremo-a-extremo";"{username} رمزگذاری سرتاسر را فعال کرد";"{username} aktivoval koncové šifrování";"{username} mengaktifkan enkripsi ujung ke ujung";"";"{username} activated end to end encryption";"";"{username}がエンドツーエンド暗号化を有効にしました";"{username} укључи шифровање с краја на крај";"";"{username} ha activat el xifratge d’extrem a extrem";"{username} 激活了端到端加密";"{username} aktivovali koncové šifrovanie";"{username} aktiválta a végpontok közötti titkosítást";"{username}가 종단간 암호화를 활성화함";"{username} فعَّل تشفير طرف لطرف";"{username} הפעיל הצפנה מקצה לקצה";"{username} uçtan uca şifrelemeyi etkinleştirdi";"{username} aktiverade ändpunktskryptering";"{username} активує наскрізне шифрування";"Thosaigh {username} an criptiú ó dheireadh go deireadh";"{username} a activé le chiffrement de bout en bout";"";"{username} aktywował/-a szyfrowanie end-to-end";"{username} suaktyvino end to end šifravimą";"{username} đã kích hoạt mã hóa đầu cuối 2 chiều";"{username} ha abilitato la crittografia end to end"
"addAccount";"";"Lisää tili";"Gehitu kontua";"Dodaj račun";"";"Account toevoegen";"Добавить учетную запись";"Añadir cuenta";"Adăugați cont";"";"";"Lisa kasutajakonto";"Konto hinzufügen";"Adicionar conta";"";"";"Engadir conta";"اضافه کردن حساب کاربری";"Přidat účet";"Tambah akun";"";"Add account";"";"アカウントを追加";"";"";"Afegeix un compte";"添加账户";"";"Fiók hozzáadása";"계정 추가";"أضف حسابًا";"הוסף חשבון";"Hesap ekle";"Lägg till konto";"Додати обліковий запис";"Breisigh cuntas";"Ajouter un compte";"";"Dodaj konto";"pridėti vartotoją";"";"Aggiungi account"
"addDescription";"";"Lisää kuvaus";"Gehitu deskribapena";"Dodaj opis";"";"Omschrijving toevoegen";"Добавить описание";"Añadir descripción";"Adăugați descriere";"";"";"Lisa kirjeldus";"Beschreibung hinzufügen";"Adicionar descrição";"";"";"Engadir descrición";"افزودن توصیف";"Přidat popis";"Tambahkan deskripsi";"";"Add description";"";"説明を追加";"";"";"";"添加描述";"";"";"설명 추가";"إضافة وصف";"";"Açıklama ekle";"Lägg till beskrivning";"Додати опис";"";"Ajouter une description";"";"Dodaj opis";"Pridėti aprašymą";"";""
"addEmail";"";"Lisää sähköpostiosoite";"Gehitu eposta";"Dodaj e-mail";"";"Email toevoegen";"Добавить электронную почту";"Añadir dirección de correo";"Adăugați email";"";"Dodajte e-pošto";"Lisa e-posti aadress";"E-Mail hinzufügen";"Adicionar email";"";"Legg til e-post";"Engadir email";"ایمیل اضافه کن";"Přidat e-mail";"Tambah email";"";"Add email";"";"Eメールを追加";"Додај е-адресу";"";"Afegeix una adreça electrònica";"添加电子邮件";"Pridať email";"E-mail-cím hozzáadása";"이메일 추가";"أضف بريدًا إلكترونيًا";"הוסף מייל";"E-posta ekle";"Lägg till e-post";"Додати е-пошту";"Cuir ríomhphoist";"Ajouter un courriel";"";"Dodaj adres email";"Pridėkite e-paštą";"Thêm email";"Aggiungi e-mail"
"addGroupDescription";"";"Lisää ryhmän kuvaus";"Gehitu taldearen deskribapena";"Dodaj opis grupe";"";"Voeg een groepsomschrijving toe";"Добавить описание группы";"Agregar una descripción al grupo";"Adaugă o descriere de";"";"Dodajte opis skupine";"Lisa vestlusrühma kirjeldus";"Eine Beschreibung für die Gruppe hinzufügen";"Adicionar uma descrição para o grupo";"Ավելացնել խմբի նկարագրություն";"Legg til gruppebeskrivelse";"Engade a descrición do grupo";"توضیحات گروه اضافه کن";"Přidat popis skupiny";"Tambahkan deskripsi grup";"";"Add a group description";"";"グループの説明を追加する";"Додај опис групе";"";"Afegeix descripció de grup";"添加一条群组介绍";"Pridať popis skupiny";"Csoportleírás hozzáadása";"그룹 소개 추가";"أضف وصف للمجموعة";"הוספת תיאור קבוצה";"Grup açıklaması ekle";"Lägg till en gruppbeskrivning";"Додати опис групи";"Cuir tuairisc grúpa";"Ajouter une description au groupe";"";"Dodaj opis grupy";"Pridėkite grupės aprašymą";"Thêm mô tả cho nhóm";"Aggiungi una descrizione al gruppo"
